HEADER	SPOT	GRID	TOP	LEFT	BOT	RIGHT	ROW	COL	CH1I	CH1B	CH1AB	CH2I	CH2B	CH2AB	SPIX	BGPIX	EDGE	RAT2	MRAT	REGR	CORR	LFRAT	CH1GTB1	CH2GTB1	CH1GTB2	CH2GTB2	CH1EDGEA	CH2EDGEA	FLAG	CH1KSD	CH1KSP	CH2KSD	CH2KSP
REMARK	SOFTWARE	ScanAlyze
REMARK	SOFTVERS	2.44
REMARK	CH1 IMAGE	Def664Cy3
REMARK	CH2 IMAGE	Def664Cy5
REMARK	GRID FILE	C:\Documents and Settings\cbio07\Desktop\mod8tp08\group7\group7.SAG
REMARK	DATE	5.15.2001
REMARK	TIME	14:29:16
SPOT	7	1	182	417	197	432	1	7	18588	582	853	25243	1213	2052	177	1504	0	1.335	1.302	1.222	0.9241	1.353	0.9435	0.9661	0.887	0.8927	0.2853	0.2671	0	0.7368	0.000E+00	0.7421	0.000E+00
SPOT	8	1	229	112	244	127	2	1	5150	495	719	5455	863	1043	177	1504	0	0.9865	0.9937	0.8152	0.8365	0.9696	0.9379	0.9887	0.9096	0.9153	0.2441	0.2155	0	0.787	0.000E+00	0.7806	0.000E+00
SPOT	9	1	230	163	245	178	2	2	1535	227	379	629	709	815	177	1504	0	-0.06116	0.383	-0.05563	-0.08345	10.08	0.887	0.2881	0.8418	0.1695	0.289	0.2687	0	0.5543	1.471E-43	0.295	1.206E-12
SPOT	10	1	230	213	245	228	2	3	4885	225	418	6308	811	1047	177	1504	0	1.18	1.205	0.986	0.8124	1.268	0.9209	0.9774	0.9153	0.9435	0.2807	0.2239	0	0.8109	0.000E+00	0.8604	0.000E+00
SPOT	11	1	231	264	246	279	2	4	7312	278	412	8719	932	1001	177	1504	0	1.107	1.156	0.9839	0.9006	1.103	0.9774	0.9492	0.9605	0.9322	0.2932	0.2401	0	0.8415	0.000E+00	0.8554	0.000E+00
SPOT	12	1	231	315	246	330	2	5	2472	281	457	4100	1176	1345	177	1504	0	1.335	1.043	1.283	0.7967	1.798	0.9492	0.9266	0.8814	0.7175	0.2538	0.2058	0	0.662	0.000E+00	0.5719	0.000E+00
SPOT	13	1	232	365	247	380	2	6	1367	236	378	930	1055	1114	177	1504	0	-0.1105	0.4075	-0.1025	-0.1433	4.969	0.8249	0.2768	0.7797	0.08475	0.3007	0.2105	0	0.539	3.301E-41	0.2325	5.163E-08
SPOT	14	1	233	416	248	431	2	7	7683	363	524	6551	1045	1104	177	1504	0	0.7522	0.7377	0.6881	0.8937	0.7469	0.9209	0.9153	0.9096	0.8531	0.301	0.2209	0	0.8129	0.000E+00	0.7989	0.000E+00
SPOT	15	1	280	112	295	127	3	1	3036	243	449	2710	958	1114	177	1504	0	0.6273	0.4872	0.5625	0.5924	0.9164	0.9379	0.8418	0.9209	0.661	0.3115	0.2581	0	0.7567	0.000E+00	0.5091	8.331E-37
SPOT	16	1	280	162	295	177	3	2	2579	261	408	2192	1082	1165	177	1504	0	0.4789	0.4852	0.3589	0.6031	0.4454	0.9774	0.8983	0.9605	0.7119	0.2548	0.1587	0	0.755	0.000E+00	0.5553	1.037E-43
SPOT	17	1	281	213	296	228	3	3	7514	178	358	5741	995	1109	177	1504	0	0.6469	0.6155	0.5905	0.8167	0.6745	0.9548	0.9209	0.9209	0.8475	0.2972	0.2501	0	0.7916	0.000E+00	0.7637	0.000E+00
SPOT	18	1	282	264	297	279	3	4	6155	208	389	3579	1072	1150	177	1504	0	0.4216	0.451	0.3888	0.8495	0.4094	0.9661	0.9266	0.9322	0.8475	0.271	0.1723	0	0.8032	0.000E+00	0.7088	0.000E+00
SPOT	19	1	282	314	297	329	3	5	7164	194	363	5158	1097	1167	177	1504	0	0.5826	0.5733	0.4975	0.8504	0.5376	0.9774	0.9322	0.9718	0.8927	0.2972	0.205	0	0.8342	0.000E+00	0.8182	0.000E+00
SPOT	20	1	283	365	298	380	3	6	13067	221	375	12532	1231	1305	177	1504	0	0.8797	0.89	0.8266	0.9077	0.902	0.9774	0.9266	0.9492	0.8927	0.3133	0.2582	0	0.8136	0.000E+00	0.8298	0.000E+00
SPOT	21	1	283	416	298	431	3	7	13581	465	655	10838	1217	1301	177	1504	0	0.7335	0.7043	0.6533	0.8818	0.7127	0.9944	0.9718	0.9661	0.9379	0.2594	0.2349	0	0.8471	0.000E+00	0.9	0.000E+00
SPOT	22	1	330	111	345	126	4	1	2155	208	367	1714	1122	1191	177	1504	0	0.3041	0.3661	0.1641	0.3108	0.2168	0.9605	0.7797	0.9492	0.4689	0.2555	0.1405	0	0.7331	0.000E+00	0.3395	1.312E-16
SPOT	23	1	331	162	346	177	4	2	1573	190	336	1096	1093	1161	177	1504	0	0.002169	0.2088	-0.008018	-0.01475	87.86	0.8983	0.4746	0.8814	0.1299	0.272	0.1618	0	0.6407	0.000E+00	0.08131	2.356E-01
SPOT	24	1	332	213	347	228	4	3	2968	179	379	4606	1235	1420	177	1504	0	1.209	1.124	0.9957	0.7593	1.424	0.8983	0.8701	0.8757	0.7966	0.2947	0.1709	0	0.7145	0.000E+00	0.7065	0.000E+00
SPOT	25	1	332	263	347	278	4	4	2530	138	304	2434	1151	1213	177	1504	0	0.5364	0.622	0.4854	0.7196	0.5854	0.904	0.8079	0.8644	0.6328	0.3194	0.2009	0	0.6826	0.000E+00	0.5104	5.355E-37
SPOT	26	1	333	314	348	329	4	5	6145	149	329	13888	1259	1430	177	1504	0	2.106	2.066	1.963	0.8684	2.495	0.9774	0.9435	0.9774	0.9209	0.2677	0.2057	0	0.8451	0.000E+00	0.8631	0.000E+00
SPOT	27	1	333	365	348	380	4	6	3534	189	354	2782	1174	1263	177	1504	0	0.4807	0.4794	0.3389	0.6622	0.3895	0.9492	0.9548	0.9492	0.8305	0.2833	0.132	0	0.7863	0.000E+00	0.6809	0.000E+00
SPOT	28	1	334	416	349	431	4	7	5145	481	1334	3594	1186	1399	177	1504	0	0.5163	0.4984	0.3272	0.7014	0.363	0.8588	0.887	0.8249	0.7853	0.3228	0.2112	0	0.6394	0.000E+00	0.6377	0.000E+00
SPOT	29	1	381	111	396	126	5	1	345	286	480	1268	1379	1945	177	1504	0	-1.881	0.671	2.15	0.3971	13.24	0.4181	0.3785	0.2768	0.0565	0.3857	0.1335	0	0.1348	5.625E-03	0.161	4.606E-04
SPOT	30	1	382	162	397	177	5	2	423	153	311	1288	1227	1313	177	1504	0	0.2259	0.9588	-0.006749	-0.005584	0.01465	0.6102	0.565	0.5198	0.1469	0.3965	0.1354	0	0.1314	7.539E-03	0.06963	4.135E-01
SPOT	31	1	382	212	397	227	5	3	287	171	308	1429	1229	1357	177	1504	0	1.724	1.487	0.1392	0.05799	34.24	0.4576	0.5198	0.3842	0.1751	0.401	0.1765	0	0.06332	5.360E-01	0.0506	8.024E-01
SPOT	32	1	383	263	398	278	5	4	360	140	314	1222	1175	1287	177	1504	0	0.2136	1.059	0.1037	0.08546	4.766	0.4972	0.4576	0.4124	0.1469	0.4307	0.173	0	0.05721	6.653E-01	0.07822	2.760E-01
SPOT	33	1	384	314	399	329	5	5	304	172	313	1257	1159	1211	177	1504	0	0.7424	0.8626	0.006708	0.005808	49.84	0.3842	0.5424	0.3333	0.1695	0.4953	0.1208	0	0.1381	4.207E-03	0.07585	3.103E-01
SPOT	34	1	384	364	399	379	5	6	338	201	371	1046	989	1119	177	1504	0	0.4161	0.5165	0.446	0.3459	1.988	0.4237	0.4915	0.3785	0.1638	0.4338	0.1537	0	0.1189	2.080E-02	0.05995	6.067E-01
SPOT	35	1	385	415	400	430	5	7	362	197	356	1022	950	1009	177	1504	0	0.4364	1.066	0.001167	0.001139	43.52	0.4972	0.5198	0.4407	0.209	0.3859	0.1622	0	0.04141	9.445E-01	0.06409	5.203E-01
SPOT	36	1	432	111	447	126	6	1	321	147	316	1398	1353	1564	177	1504	0	0.2586	0.8885	0.4346	0.152	16.56	0.4972	0.4689	0.435	0.1186	0.4168	0.1333	0	0.04342	9.207E-01	0.05388	7.362E-01
SPOT	37	1	433	161	448	176	6	2	284	147	305	1495	1452	1563	177	1504	0	0.3139	0.8822	0.03219	0.0168	83	0.4633	0.4633	0.3729	0.1186	0.4486	0.1253	0	0.07292	3.565E-01	0.07754	2.856E-01
SPOT	38	1	433	212	448	227	6	3	333	149	360	1388	1236	1305	177	1504	0	0.8261	0.9547	0.2057	0.2675	0.4161	0.4859	0.5254	0.4237	0.2147	0.4512	0.1375	0	0.04682	8.705E-01	0.1076	4.741E-02
SPOT	39	1	434	263	449	278	6	4	281	116	283	1274	1160	1239	177	1504	0	0.6909	1.071	0.3351	0.1849	6.964	0.4915	0.5537	0.4633	0.1808	0.4306	0.1358	0	0.05204	7.738E-01	0.07462	3.291E-01
SPOT	40	1	434	313	449	328	6	5	328	180	325	980	969	1018	177	1504	0	0.07432	1.162	0.0293	0.02807	3.343	0.4972	0.4746	0.3842	0.1751	0.4167	0.1504	0	0.03525	9.880E-01	0.07432	3.339E-01
SPOT	41	1	435	364	450	379	6	6	308	187	333	876	899	989	177	1504	0	-0.1901	1.119	0.02394	0.01973	19.75	0.4802	0.4463	0.3955	0.1243	0.4093	0.1739	0	0.04308	9.251E-01	0.1159	2.605E-02
SPOT	42	1	436	415	451	430	6	7	355	183	340	987	948	1001	177	1504	0	0.2267	0.8297	0.0304	0.02822	5.45	0.5537	0.5424	0.4746	0.1356	0.3689	0.1488	0	0.1068	4.998E-02	0.06603	4.815E-01
SPOT	43	1	483	110	498	125	7	1	6820	151	303	9725	1592	1679	177	1504	0	1.22	1.207	1.129	0.912	1.263	0.8927	0.9266	0.8644	0.7514	0.3427	0.2357	0	0.678	0.000E+00	0.6919	0.000E+00
SPOT	44	1	483	161	498	176	7	2	3806	162	367	4628	1500	1693	177	1504	0	0.8584	0.8562	0.6776	0.7537	0.8685	0.8362	0.8588	0.8023	0.7288	0.3679	0.1955	0	0.5593	2.382E-44	0.6391	0.000E+00
SPOT	45	1	484	212	499	227	7	3	15235	164	337	14561	1403	1465	177	1504	0	0.8731	0.8736	0.7967	0.9357	0.8422	0.9379	0.9153	0.8927	0.8136	0.333	0.2643	0	0.7388	0.000E+00	0.768	0.000E+00
SPOT	46	1	484	262	499	277	7	4	2446	189	339	1671	1149	1223	177	1504	0	0.2313	0.2686	0.1603	0.4418	0.1788	0.8362	0.7684	0.8023	0.452	0.3308	0.1441	0	0.5979	0.000E+00	0.3094	7.336E-14
SPOT	47	1	485	313	500	328	7	5	10952	179	325	6784	1014	1075	177	1504	0	0.5356	0.5357	0.4772	0.9156	0.4947	0.8983	0.8983	0.8757	0.7627	0.3552	0.2648	0	0.667	0.000E+00	0.6537	0.000E+00
SPOT	48	1	486	364	501	379	7	6	1969	181	339	1613	1057	1100	177	1504	0	0.311	0.3832	0.2483	0.5547	0.2852	0.8418	0.7175	0.7797	0.4633	0.3624	0.1563	0	0.5094	7.389E-37	0.3187	1.113E-14
SPOT	49	1	486	415	501	430	7	7	8742	271	467	1695	1224	1298	177	1504	0	0.0556	0.06797	0.03549	0.3297	0.03586	0.8418	0.7288	0.8136	0.3503	0.3654	0.1602	0	0.6557	0.000E+00	0.2518	2.510E-09
SPOT	50	2	190	574	205	589	1	1	2787	381	517	20087	1451	1823	177	1452	0	7.746	6.886	6.716	0.743	12.1	0.904	0.9887	0.8644	0.9548	0.2648	0.308	0	0.645	0.000E+00	0.8202	0.000E+00
